id,candidate_id,timetable_id
9481,14473,2
9482,14563,1
9486,14568,2
9488,14627,2
9489,15199,1
9492,15278,2
9493,15340,1
9496,15431,2
9497,15435,2
9498,15481,2
9499,15514,2
9500,15586,2
9501,15593,2
9502,15820,2
9503,15944,2
9504,16157,2
9505,16215,2
9508,16574,2
9510,16782,2
9511,16824,2
9512,17069,2
9513,17640,2
9514,17691,2
9515,17765,5
9516,17838,2
38,14052,2
39,27436,2
40,41490,2
41,41775,1
44,30194,2
45,41635,2
46,23839,2
47,1395,1
52,10736,1
57,26510,1
61,32274,2
62,42602,2
63,19230,2
64,31451,1
69,28796,2
70,41218,2
71,4731,2
72,35173,1
75,1843,2
76,34063,2
77,10554,1
78,12201,2
79,15920,2
80,31650,2
81,33450,2
82,6932,1
86,39192,2
87,13338,2
88,2847,2
89,13710,2
91,11206,2
93,21843,1
97,31902,2
98,20035,2
99,34003,1
103,37441,2
104,38927,2
106,5239,2
108,8320,2
109,8873,2
110,16974,5
111,26125,2
112,41411,1
116,19644,2
117,15046,1
120,6880,1
125,6916,2
126,17555,2
127,19460,2
129,19513,1
131,22519,2
132,23715,2
133,25617,1
137,28130,1
141,28548,2
142,29324,1
146,29971,1
149,30313,2
151,30816,2
152,35303,5
153,37470,2
155,38958,1
158,40259,2
159,41772,1
161,42956,2
163,43880,1
168,16672,2
169,10197,1
172,22674,2
174,24813,1
177,28756,2
179,29778,2
180,21847,1
185,9274,1
188,28069,1
191,10109,1
194,1245,1
197,1314,1
200,1926,1
205,4371,2
207,9316,2
208,10317,5
210,10989,1
213,11011,5
216,12194,1
219,12641,2
221,17149,1
224,20833,2
225,24230,1
228,25471,2
229,25907,2
230,27222,1
232,28704,1
236,32707,1
239,35504,1
242,39436,1
244,39756,5
245,41030,2
246,41996,2
247,21058,2
249,21089,1
252,42279,1
254,15935,2
255,25994,2
256,4043,1
259,13272,2
261,14548,5
262,15592,1
266,22413,1
270,27239,5
272,27628,1
275,30565,1
278,30718,2
279,31166,1
282,31881,2
283,33312,2
284,36692,1
287,38807,1
291,39897,2
293,41311,2
294,37946,1
298,41064,2
300,867,1
303,2221,2
304,2533,2
305,2798,1
307,3454,2
308,3927,1
310,4454,1
313,6374,2
314,7378,5
315,7595,5
318,8223,2
320,10779,2
321,10904,1
325,11155,2
326,11781,1
329,12745,1
331,12836,5
332,15139,5
333,15291,1
337,15628,1
340,16889,1
345,17074,4
350,17383,2
352,18278,2
353,19112,5
357,19277,2
358,19450,5
360,20045,5
361,20975,1
366,21911,1
371,22600,2
374,25775,2
375,26933,5
379,27308,1
381,27313,2
382,27679,1
385,27740,1
388,27922,2
389,28254,1
393,28605,2
394,29621,2
395,31652,2
396,32474,1
400,36246,1
403,38749,2
405,39524,1
409,40714,1
412,42537,1
414,42565,2
415,6814,1
417,18483,1
421,20906,2
423,21912,1
425,29782,5
426,31751,1
429,33338,2
430,1353,1
433,2116,1
438,2714,1
440,3611,5
441,3806,2
442,5025,2
443,7490,5
446,7720,1
450,11581,5
451,13528,1
455,13833,2
457,14416,2
458,16248,1
461,16691,2
462,17473,2
463,19954,1
466,21168,5
468,21619,2
469,23738,1
473,24694,5
477,24730,2
479,25033,1
482,27426,2
483,27477,1
486,29220,2
487,30073,2
488,31050,5
490,31593,2
491,31608,5
492,33529,5
493,36193,1
497,37159,2
498,37291,1
500,37925,2
501,38834,2
502,41110,5
504,41288,2
506,43135,2
507,43203,1
510,43349,2
511,43579,1
515,44298,1
517,8893,2
518,2658,2
519,7970,2
521,13801,1
525,33203,1
529,41894,5
530,6048,2
531,12017,2
532,38386,1
534,40037,5
537,42389,2
538,5142,1
543,17382,5
544,22311,5
546,36003,1
550,193,1
555,697,1
558,926,2
560,1046,2
561,2527,2
562,2749,5
566,3110,2
567,4148,2
568,5005,1
573,5274,1
576,5910,5
577,7320,2
578,7709,2
579,8466,2
580,8933,2
581,9419,2
582,9936,1
584,10575,1
587,10651,2
588,10758,2
589,10996,1
592,11327,1
594,11743,2
596,11933,2
597,12655,5
601,14388,2
602,15306,1
605,16117,5
608,16519,2
609,16957,1
613,17067,1
618,17614,2
619,17651,5
622,17745,2
623,18133,2
624,18281,1
628,18394,1
631,20858,2
632,20986,1
635,21203,1
639,21440,2
640,21605,2
641,23760,5
642,24195,1
647,25843,1
650,26282,2
651,26917,2
652,27137,2
653,27896,1
655,28589,2
657,28815,2
658,31331,1
661,31492,5
664,31901,2
666,32777,4
671,33094,5
673,33430,1
675,34394,2
676,35435,2
677,35574,2
678,35886,1
680,36221,2
682,36512,1
686,36886,1
688,36996,2
689,37280,1
691,37510,1
696,37739,2
697,38016,2
698,38195,2
699,38196,1
703,38693,4
708,39600,5
712,39714,5
715,40327,1
718,40474,1
723,40652,2
724,41304,1
729,42399,4
734,43069,2
736,32802,2
737,12014,1
741,21010,1
743,33699,5
744,35752,2
745,18826,2
746,3621,1
750,13778,1
754,26205,2
755,28871,2
756,40642,1
758,21689,5
762,41925,5
765,17576,1
770,31394,2
771,33358,1
774,39371,2
775,3106,1
776,5253,5
777,7110,1
781,9160,1
785,16965,1
788,22253,5
789,23960,2
790,29189,2
792,31778,1
797,40464,1
798,1299,2
799,1753,2
800,3180,1
804,4136,2
805,4358,5
808,4461,1
811,5363,1
816,5532,1
819,6290,2
820,6892,2
821,6958,2
823,7589,1
827,8501,1
830,9503,5
832,9972,2
834,10336,2
835,12131,5
836,13132,2
837,13639,1
840,13665,2
841,13709,2
842,14204,1
845,15127,2
846,15408,2
847,17497,1
851,19605,1
856,22740,1
860,23158,1
864,25607,1
867,27401,1
872,27869,5
874,27876,5
877,28054,1
881,28251,2
882,28265,2
883,28570,2
884,29799,1
888,29848,2
889,29966,2
890,30888,1
894,31732,1
898,32865,2
899,33923,2
900,34115,1
903,34706,1
905,41012,1
907,42289,1
909,43947,1
913,44558,2
915,43693,1
918,39132,2
919,3151,2
920,17368,5
921,28030,1
926,30164,1
929,42199,1
933,37144,1
937,619,2
938,5979,2
939,7031,1
943,8331,2
944,9280,2
946,12605,1
949,14040,2
950,14431,2
953,23322,1
957,24073,2
958,30629,2
959,30708,2
960,32833,2
961,40865,4
966,42231,2
967,5438,1
970,6536,1
973,17701,2
974,26930,2
975,21179,1
979,1799,1
984,3314,2
985,4626,2
986,5278,2
987,5446,2
988,9554,5
989,11239,2
990,11936,1
994,12740,1
999,13438,2
1000,15264,2
1001,16042,2
1003,18200,2
1005,18662,5
1007,22276,2
1009,23013,2
1010,24712,1
1014,24955,1
1019,25679,2
1021,27437,2
1022,29329,2
1024,30070,1
1027,31000,2
1028,37084,1
1031,37115,1
1035,37546,1
1039,40178,2
1040,40405,5
1041,41545,4
1046,18786,1
1051,4686,5
1052,5890,1
1055,6427,5
1056,7627,2
1057,12920,2
1059,15962,1
1062,23149,2
1063,34525,5
1066,39188,2
1068,40075,1
1071,14354,1
1073,934,5
1074,1931,2
1075,1996,2
1076,2099,2
1077,2137,2
1078,2154,1
1081,2491,1
1085,4713,1
1089,4782,1
1094,4856,2
1096,5190,1
1099,5515,1
1102,5846,1
1105,6128,2
1106,6890,4
1111,6897,4
1116,6990,1
1118,7269,1
1121,8397,2
1123,8912,2
1126,9449,2
1127,9920,1
1132,10860,1
1135,11386,1
1138,11575,5
1139,11649,2
1140,12059,1
1144,12151,2
1145,12473,1
1149,13069,1
1154,13143,1
1157,13594,1
1160,13900,2
1162,13932,1
1164,14134,1
1168,14212,2
1169,14578,2
1170,14662,2
1172,14806,1
1177,14930,3
1178,14986,1
1181,15232,2
1184,15409,1
1187,15545,1
1190,15892,2
1191,16379,1
1195,16431,5
1199,16607,2
1201,18046,2
1202,18975,2
1204,19861,2
1205,20208,1
1209,20250,2
1210,20333,2
1211,21325,2
1212,21482,2
1215,21971,1
1218,22535,2
1219,23473,2
1221,23515,2
1223,23805,2
1224,24241,1
1228,24418,5
1232,24429,1
1236,25165,2
1237,26181,1
1242,26556,1
1245,26839,2
1246,26918,2
1247,27595,2
1248,27953,5
1249,28644,2
1251,29422,1
1254,29499,1
1257,30254,1
1261,30448,1
1264,31055,2
1265,31718,2
1266,32020,1
1269,32326,2
1271,32603,1
1274,33263,2
1275,33586,1
1278,33872,2
1279,33981,2
1280,34074,2
1282,34618,1
1287,35405,1
1291,35864,2
1292,36087,1
1295,36335,2
1297,36340,2
1298,36963,2
1299,37045,2
1300,37514,2
1301,38818,4
1302,39398,1
1306,39729,1
1310,39862,1
1313,40136,2
1314,40177,2
1315,41950,1
1318,42245,1
1322,42460,1
1325,42572,1
1328,42678,1
1331,42871,1
1335,43590,2
1336,43924,1
1340,44060,2
1341,44422,1
1345,44686,5
1346,18607,1
1349,34716,1
1352,36465,1
1354,13060,1
1358,32718,2
1359,4117,5
1362,4632,1
1364,9285,2
1365,9633,1
1368,9689,2
1370,9913,2
1371,11225,1
1373,11600,2
1374,12888,2
1376,15837,1
1381,19113,1
1385,19495,1
1387,27240,2
1389,27570,1
1394,29585,2
1395,32664,1
1400,43817,5
1404,1736,5
1406,4489,2
1407,5486,2
1408,9437,2
1409,10798,1
1414,12726,2
1415,13181,2
1416,14570,1
1420,17185,2
1421,19594,2
1422,21419,1
1427,23595,2
1428,24738,2
1429,25859,2
1430,26396,2
1432,27755,5
1434,28618,1
1438,31407,2
1439,32687,5
1442,33421,2
1443,33662,2
1444,34001,1
1448,36819,2
1450,41246,1
1455,41383,2
1456,44404,2
1457,14968,1
1462,7786,1
1466,24661,1
1468,909,2
1471,13466,1
1476,22640,5
1477,28581,2
1478,29818,1
1481,34838,2
1482,37242,1
1485,39064,5
1487,39369,1
1490,42604,1
1494,40541,2
1496,592,1
1500,1316,2
1501,2274,2
1502,3063,2
1504,3226,1
1508,3348,2
1509,5255,2
1510,7017,1
1513,7813,2
1514,11035,1
1519,11782,2
1520,12553,1
1525,13254,5
1529,14409,5
1533,14681,2
1534,14700,2
1535,15097,2
1536,16182,2
1537,17095,2
1539,17864,5
1543,19116,2
1544,19732,1
1547,20123,2
1548,21837,2
1549,25402,1
1554,27091,2
1555,28286,2
1556,34478,5
1558,34983,1
1563,35297,2
1565,35546,5
1568,37775,1
1571,38044,1
1573,38205,2
1574,38285,2
1575,38633,5
1579,39960,2
1580,40050,2
1581,41628,1
1586,41977,1
1589,43642,5
1592,9694,2
1593,18762,1
1597,25121,1
1600,27786,1
1605,38776,2
1607,41937,2
1608,2046,1
1610,3995,1
1613,4195,1
1617,4252,2
1618,4813,1
1620,6191,2
1622,9088,4
1627,9355,2
1628,14092,1
1633,18429,1
1636,18485,4
1640,18651,2
1641,18931,1
1643,19753,2
1645,20182,2
1646,21048,2
1648,21540,5
1651,22557,2
